"";"ship";"serial";"rect";"herr";"cod";"had";"whi";"Npout";"sprat";"mack";"MIK";"MIKeyM"
"1";"GOS";60009;"NN";NA;NA;NA;NA;NA;NA;NA;0;0
"2";"GOS";60010;"NN";NA;NA;24;0;236;NA;NA;0;0
"3";"GOS";60011;"NN";NA;NA;0;0;145,2;NA;0;0;0
"4";"GOS";60012;"NN";NA;NA;NA;NA;NA;NA;NA;0;0
"5";"GOS";60013;"NN";NA;0;24;NA;8;NA;14;0;0
"6";"GOS";60014;"NN";0;0;4;0;23680,8;NA;1129,15151515152;0;0
"7";"GOS";60015;"NN";NA;NA;NA;NA;NA;NA;NA;0;0
"8";"GOS";60016;"NN";0;NA;2;0;2848,5;NA;204,7;0;0
"9";"GOS";60017;"NN";0;NA;4;NA;12;NA;0;0;0
"10";"GOS";60018;"NN";0;NA;0;NA;68;NA;2;0;0
"11";"GOS";60019;"NN";NA;NA;NA;NA;NA;NA;NA;0;0
"12";"GOS";60020;"NN";NA;NA;NA;NA;NA;NA;NA;0;0
"13";"GOS";60021;"NN";NA;NA;NA;NA;NA;NA;NA;0;0
"14";"GOS";60022;"NN";0;NA;32;0;5397,48;NA;0;0;0
"15";"GOS";60023;"NN";0;0;8;0;217;NA;16159,5;0;0
"16";"GOS";60024;"NN";NA;0;14,3333333333333;0;10385,34;NA;12;0;0
"17";"GOS";60025;"NN";0;2;0;2;4124,44;NA;2;0;0
"18";"GOS";60026;"NN";0;0;0;28,6792452830189;79856,64;NA;86;0;0
